Day,Date,Open,High,Low,Close,Adj Close,Volume
264, 19/1/2021 ,213.75,216.979996,212.630005,216.440002,213.700195,30480900
265, 20/1/2021 ,217.699997,225.789993,217.289993,224.339996,221.500183,37777300
266, 21/1/2021 ,224.699997,226.300003,222.419998,224.970001,222.122192,30709400
267, 22/1/2021 ,227.080002,230.070007,225.800003,225.949997,223.089798,30172700
268, 25/1/2021 ,229.119995,229.779999,224.220001,229.529999,226.624481,33152100
269, 26/1/2021 ,231.860001,234.179993,230.080002,232.330002,229.389038,49169600
270, 27/1/2021 ,238,240.440002,230.139999,232.899994,229.951828,69870600
271, 28/1/2021 ,235.610001,242.639999,235.089996,238.929993,235.905472,49111200
272, 29/1/2021 ,235.990005,238.020004,231.350006,231.960007,229.023727,42503100
273, 1/2/2021  ,235.059998,242.5,232.429993,239.649994,236.616364,33314200
274, 2/2/2021  ,241.300003,242.309998,238.690002,239.509995,236.478134,25916300
275, 3/2/2021  ,239.570007,245.089996,239.259995,243,239.923981,27158100
276, 4/2/2021  ,242.660004,243.240005,240.369995,242.009995,238.946487,25296100
277, 5/2/2021  ,242.229996,243.279999,240.419998,242.199997,239.134094,18054800
278, 8/2/2021  ,243.149994,243.679993,240.809998,242.470001,239.400711,22211900
279, 9/2/2021  ,241.869995,244.759995,241.380005,243.770004,240.684235,23565000
280, 10/2/2021 ,245,245.919998,240.889999,242.820007,239.746246,22186700
281, 11/2/2021 ,244.779999,245.149994,242.149994,244.490005,241.395126,15751100
282, 12/2/2021 ,243.929993,245.300003,242.729996,244.990005,241.888794,16561100
283, 16/2/2021 ,245.029999,246.130005,242.919998,243.699997,240.615097,26728500
284, 17/2/2021 ,241.320007,244.309998,240.940002,244.199997,241.664108,21653500
285, 18/2/2021 ,241.800003,243.929993,240.860001,243.789993,241.258362,16925600
286, 19/2/2021 ,243.75,243.860001,240.179993,240.970001,238.467651,25262600
287, 22/2/2021 ,237.419998,237.929993,232.399994,234.509995,232.074707,36446900
288, 23/2/2021 ,230.330002,234.830002,228.729996,233.270004,230.84761,30228700
289, 24/2/2021 ,230.009995,235.199997,229,234.550003,232.114319,26339700
290, 25/2/2021 ,232.080002,234.589996,227.880005,228.990005,226.612061,39542200
291, 26/2/2021 ,231.529999,235.369995,229.539993,232.380005,229.966843,37819200
292, 1/3/2021  ,235.899994,237.470001,233.149994,236.940002,234.479477,25324000
293, 2/3/2021  ,237.009995,237.300003,233.449997,233.869995,231.44136,22812500
294, 3/3/2021  ,232.160004,233.580002,227.259995,227.559998,225.196899,34029500
295, 4/3/2021  ,226.740005,232.490005,224.259995,226.729996,224.375504,44727800
296, 5/3/2021  ,229.520004,233.270004,226.460007,231.600006,229.194946,41872800
297, 8/3/2021  ,231.369995,233.369995,227.130005,227.389999,225.028656,35267400
