Date,Property_Type,Project_Name,Unit_Price,Area
Jul-21,Terrace House,SILAHIS VILLE,1693.00,1565.09
Jul-21,Terrace House,CASA SERENO,1056.00,3125.87
Jul-21,Terrace House,LANDED HOUSING DEVELOPMENT,1106.00,2802.95
Jul-21,Terrace House,KIMNAN PARK,1384.00,2029.01
Jul-21,Terrace House,LANDED HOUSING DEVELOPMENT,1343.00,2234.61
Jul-21,Terrace House,LANDED HOUSING DEVELOPMENT,1430.00,1957.97
Jul-21,Terrace House,LANDED HOUSING DEVELOPMENT,1701.00,2315.34
Aug-21,Detached House,FRANKEL ESTATE,853.00,7621.99
Aug-21,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1225.00,2979.48
Aug-21,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1182.00,3934.24
Aug-21,Terrace House,LANDED HOUSING DEVELOPMENT,1275.00,2957.95
Aug-21,Terrace House,LANDED HOUSING DEVELOPMENT,1411.00,2763.12
Aug-21,Terrace House,MALAYSIA PARK,1344.00,1994.57
Aug-21,Terrace House,LANDED HOUSING DEVELOPMENT,962.00,4122.61
Aug-21,Terrace House,KEMBANGAN ESTATE,1129.00,3260.42
Aug-21,Terrace House,LANDED HOUSING DEVELOPMENT,1543.00,1931.06
Aug-21,Terrace House,KIMNAN PARK,1244.00,3176.46
Aug-21,Terrace House,YONG SENG ESTATE,1460.00,1883.70
Aug-21,Terrace House,SIN CHUAN GARDEN,1658.00,1821.27
Aug-21,Terrace House,GEYLANG CONSERVATION AREA,1992.00,1405.78
Sep-21,Detached House,LANDED HOUSING DEVELOPMENT,1494.00,4517.65
Sep-21,Detached House,LANDED HOUSING DEVELOPMENT,1109.00,9198.91
Sep-21,Detached House,LANDED HOUSING DEVELOPMENT,1276.00,5291.58
Sep-21,Detached House,LANDED HOUSING DEVELOPMENT,1198.00,5993.40
Sep-21,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1318.00,3171.07
Sep-21,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1787.00,2517.70
Sep-21,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1622.00,2478.95
Sep-21,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1576.00,2938.57
Sep-21,Terrace House,LANDED HOUSING DEVELOPMENT,1355.00,2583.36
Sep-21,Terrace House,LANDED HOUSING DEVELOPMENT,2272.00,1619.98
Sep-21,Terrace House,LANDED HOUSING DEVELOPMENT,1553.00,1995.65
Sep-21,Terrace House,LANDED HOUSING DEVELOPMENT,1469.00,2646.87
Sep-21,Terrace House,MALAYSIA PARK,1507.00,2023.63
Sep-21,Terrace House,LANDED HOUSING DEVELOPMENT,1483.00,2866.45
Sep-21,Terrace House,LANDED HOUSING DEVELOPMENT,1621.00,2251.83
Sep-21,Terrace House,LANDED HOUSING DEVELOPMENT,1311.00,2441.28
Oct-21,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1662.00,2587.67
Oct-21,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1089.00,3950.39
Oct-21,Terrace House,LANDED HOUSING DEVELOPMENT,985.00,3693.13
Oct-21,Terrace House,LANDED HOUSING DEVELOPMENT,1624.00,2696.38
Oct-21,Terrace House,YONG SENG ESTATE,1488.00,1881.55
